enemy_id,enemy_name,model_path,texture_path,base_level,scale_with_player,max_health,attack_damage,defense,speed,initiative_speed,weakness_element,attack_element,equipped_weapon_id,equipped_item_id,can_cast_spells,spell_ids,max_mana,occurs_in_groups,min_group_size,max_group_size,movement_speed,aggro_range_tiles,can_surprise_player,can_be_surprised,xp_value,gold_value,drops_loot
en_scavenger_cyclops,Scavenger Cyclops,res://resources/Enemies/Kenny/character-a.glb,res://resources/Enemies/Kenny/texture-a.png,1,TRUE,25,5,1,8,10,BASH,BASH,NONE,NONE,FALSE,NONE,0,TRUE,2,4,1,3,FALSE,TRUE,20,10,TRUE
en_azurian_drone,Azurian Drone,res://resources/Enemies/Kenny/character-b.glb,res://resources/Enemies/Kenny/texture-b.png,1,TRUE,40,15,10,7,7,FIRE,BASH,wpn_plasma_katana,NONE,FALSE,NONE,0,TRUE,1,3,0.6,4,FALSE,TRUE,30,50,FALSE
en_rage_wraith,Rage Wraith,res://resources/Enemies/Kenny/character-c.glb,res://resources/Enemies/Kenny/texture-c.png,2,TRUE,42,10,2,13,13,FIRE,MAGIC,NONE,NONE,TRUE,sp_plasma_dart,100,TRUE,2,4,1,6,TRUE,FALSE,40,0,TRUE
en_zombie_cat,Corrupted,res://resources/Enemies/Kenny/character-d.glb,res://resources/Enemies/Kenny/texture-d.png,2,TRUE,30,10,5,7,9,BLADE,BASH,NONE,NONE,FALSE,NONE,0,TRUE,1,4,0.8,4,FALSE,FALSE,50,25,TRUE
en_oculat_striker,Oculat Striker,res://resources/Enemies/Kenny/character-e.glb,res://resources/Enemies/Kenny/texture-e.png,3,TRUE,60,12,12,12,12,FIRE,BIO,NONE,con_health_vial,TRUE,sp_cryo_blast|sp_plasma_dart,200,TRUE,1,3,1.5,4,TRUE,TRUE,120,120,FALSE
en_zombie_savage,Savage Corrupted,res://resources/Enemies/Kenny/character-f.glb,res://resources/Enemies/Kenny/texture-f.png,3,TRUE,80,18,10,9,11,BIO,BLADE,NONE,NONE,FALSE,NONE,0,TRUE,1,5,1.5,6,FALSE,TRUE,150,0,TRUE
en_zombie_guard,Corrupted Guard,res://resources/Enemies/Kenny/character-d.glb,res://resources/Enemies/Kenny/texture-g.png,4,TRUE,75,20,15,10,13,WATER,BLADE,wpn_plasma_katana,NONE,FALSE,NONE,0,TRUE,1,4,1.6,6,FALSE,FALSE,200,200,TRUE
en_zombie_knight,Corrupted Knight,res://resources/Enemies/Kenny/character-d.glb,res://resources/Enemies/Kenny/texture-h.png,4,TRUE,95,25,15,12,13,WATER,BLADE,wpn_plasma_katana,NONE,FALSE,NONE,0,TRUE,1,4,1.6,6,FALSE,FALSE,260,400,TRUE
en_psionic_adept,Psionic Adept,res://resources/Enemies/Kenny/character-i.glb,res://resources/Enemies/Kenny/texture-i.png,5,TRUE,52,9,3,10,13,BLADE,MAGIC,NONE,con_mana_vial,TRUE,sp_mind_spike|sp_static_nova,35,TRUE,1,2,1.1,4,FALSE,TRUE,120,65,FALSE
en_hazard_cleaner,Hazard Cleaner,res://resources/Enemies/Kenny/character-j.glb,res://resources/Enemies/Kenny/texture-j.png,5,TRUE,70,18,6,7.5,9,WATER,FIRE,NONE,NONE,FALSE,NONE,0,TRUE,1,3,0.9,5,FALSE,TRUE,135,70,TRUE
en_corrupted_ronin,Corrupted Ronin,res://resources/Enemies/Kenny/character-k.glb,res://resources/Enemies/Kenny/texture-k.png,6,TRUE,85,22,7,11,14,BASH,BLADE,katana,NONE,FALSE,NONE,0,FALSE,1,1,1.2,5,TRUE,TRUE,160,85,FALSE
en_shadow_assassin,Shadow Assassin,res://resources/Enemies/Kenny/character-l.glb,res://resources/Enemies/Kenny/texture-l.png,6,TRUE,75,24,4,14,18,FIRE,BLADE,eq_rune_gauntlets,NONE,FALSE,NONE,0,TRUE,1,2,1.6,5,TRUE,FALSE,175,90,FALSE
en_void_weaver,Void Weaver,res://resources/Enemies/Kenny/character-m.glb,res://resources/Enemies/Kenny/texture-m.png,7,TRUE,80,14,5,11,14,BASH,ARCANE,wpn_arcane_staff,NONE,TRUE,sp_cryo_blast|sp_plasma_dart,50,TRUE,1,2,1.2,5,FALSE,TRUE,200,110,FALSE
en_heavy_servitor,Heavy Servitor,res://resources/Enemies/Kenny/character-n.glb,res://resources/Enemies/Kenny/texture-n.png,7,TRUE,110,25,10,6,8,ARCANE,BASH,NONE,NONE,FALSE,NONE,0,FALSE,1,1,0.7,5,FALSE,FALSE,220,125,TRUE
en_plasma_sentinel,Plasma Sentinel,res://resources/Enemies/Kenny/character-o.glb,res://resources/Enemies/Kenny/texture-o.png,8,TRUE,100,28,8,10,12,WATER,RANGED,wpn_magitek_railgun,NONE,FALSE,NONE,0,TRUE,1,3,1.1,6,FALSE,TRUE,250,140,FALSE
en_archanist_husk,Archanist Husk,res://resources/Enemies/Kenny/character-p.glb,res://resources/Enemies/Kenny/texture-p.png,8,TRUE,95,18,6,12,15,BLADE,MAGIC,NONE,con_mana_vial,TRUE,sp_arcane_cataclysm|sp_static_nova,60,TRUE,1,2,1.3,6,TRUE,TRUE,280,160,FALSE
