spell_id,spell_name,spellbook,tier,energy_cost,element,target_type,effect_type,base_amount,var_multiplier,stat_scaling,status_effect,duration,requirement,class_locked,description,icon_path,animation
sp_plasma_dart,Plasma Dart,Archanist,1,4,FIRE,SINGLE_ENEMY,DAMAGE,12,0.5,INT,NONE,1,1,FALSE,Fires a concentrated bolt of superheated plasma at an enemy target.,res://Data/Spells/Icons/plasma_dart.png,FIRE
sp_plasma_dart_2,Plasma Double Dart,Archanist,2,12,FIRE,ALL_ENEMY,DAMAGE,30,0.7,INT,NONE,1,3,FALSE,Fires a spread of concentrated bolts of superheated plasma at all enemy targets.,res://Data/Spells/Icons/plasma_double_dart.png,FIRE
sp_static_nova,Static Nova,Archanist,2,7,FIRE,ALL_ENEMY,DAMAGE,10,0.4,INT,STUN,1,1,FALSE,Discharges an EMP wave across all hostiles with a chance to stun.,res://Data/Spells/Icons/static_nova.png,FIRE
sp_overclock_shield,Overclock Shield,Archanist,2,6,LIFE,ALL_ALLY,BUFF,15,0.2,INT,SHIELD,3,1,FALSE,Project an energy barrier that bolsters defense for all party members.,res://Data/Spells/Icons/overclock_shield.png,LIFE
sp_cryo_blast,Cryo Blast,Archanist,3,9,WATER,SINGLE_ENEMY,DAMAGE,28,0.5,INT,SLOW,1,1,TRUE,Flash-freezes a target dealing high damage and slowing their action speed.,res://Data/Spells/Icons/cryo_blast.png,WATER
sp_cryo_explosion,Cryo Explosion,Archanist,3,16,WATER,ALL_ENEMY,DAMAGE,40,0.65,INT,SLOW,3,3,TRUE,Flash-freezes ALL targets dealing high damage and slowing their action speed.,res://Data/Spells/Icons/cryo_explosion.png,WATER
sp_arcane_cataclysm,Arcane Cataclysm,Archanist,4,14,FIRE,ALL_ENEMY,DAMAGE,35,0.6,INT,NONE,1,1,TRUE,Unleashes raw unrefined arcana to obliterate all enemy ranks.,res://Data/Spells/Icons/arcane_cataclysm.png,FIRE
sp_nano_repair,Nano Repair,Soulwright,1,4,LIFE,SINGLE_ALLY,HEAL,18,0.4,PIE,NONE,2,1,FALSE,Deploys medical nanites to rapidly repair organic or mechanical tissue.,res://Data/Spells/Icons/nano_repair.png,LIFE
sp_adrenaline_surge,Adrenaline Surge,Soulwright,1,5,LIFE,SINGLE_ALLY,BUFF,10,0.2,PIE,HASTE,3,1,FALSE,Injects combat stimulants into an ally to boost action speed.,res://Data/Spells/Icons/adrenaline_surge.png,LIFE
sp_aegis_grid,Aegis Grid,Soulwright,2,7,LIFE,ALL_ALLY,BUFF,12,0.3,PIE,SHIELD,3,1,FALSE,Erects a consecrated defensive matrix protecting the whole party.,res://Data/Spells/Icons/aegis_grid.png,LIFE
sp_revive_protocol,Revive Protocol,Soulwright,3,12,LIFE,SINGLE_ALLY,HEAL,50,0.2,PIE,NONE,1,1,TRUE,Restores a fallen or severely damaged party member back to peak vitals.,res://Data/Spells/Icons/revive_protocol.png,LIFE
sp_radiant_smite,Radiant Smite,Soulwright,3,10,AIR,ALL_ENEMY,DAMAGE,22,0.5,PIE,NONE,1,1,TRUE,Smites hostiles with a burst of holy solar energy.,res://Data/Spells/Icons/radiant_smite.png,AIR
sp_corrosive_spray,Corrosive Spray,Maester,1,5,DARK,ALL_ENEMY,DAMAGE,8,0.5,INT,DEFENSE_DOWN,3,1,FALSE,Sprays volatile acid that erodes armor plating on all foes.,res://Data/Spells/Icons/corrosive_spray.png,DARK
sp_neurotoxin_gas,Neurotoxin Gas,Maester,2,7,DARK,ALL_ENEMY,DAMAGE,12,0.4,INT,POISON,5,1,FALSE,Deploys toxic fumes that poison enemy ranks over time.,res://Data/Spells/Icons/neurotoxin_gas.png,DARK
sp_stimulant_mist,Stimulant Mist,Maester,2,6,LIFE,SINGLE_ALLY,HEAL,15,0.3,INT,NONE,2,1,FALSE,Releases airborne restoratives to patch up an ally's HP and Energy.,res://Data/Spells/Icons/stimulant_mist.png,LIFE
sp_smoke_screen,Smoke Screen,Maester,3,8,NONE,ALL_ALLY,BUFF,20,0.2,INT,NONE,3,1,TRUE,Blankets the party in thermal smoke to boost evasion against attacks.,res://Data/Spells/Icons/smoke_screen.png,SMOKE
sp_molecular_dissolve,Molecular Dissolve,Maester,4,13,DARK,SINGLE_ENEMY,DAMAGE,40,0.5,INT,NONE,1,1,TRUE,Breaks down a single target at the molecular level for massive damage.,res://Data/Spells/Icons/molecular_dissolve.png,DARK
sp_mind_spike,Mind Spike,Psynic,1,4,DARK,SINGLE_ENEMY,DAMAGE,14,0.5,PER,NONE,1,1,FALSE,Pierces an enemy's consciousness with a sharp psionic shockwave.,res://Data/Spells/Icons/mind_spike.png,DARK
sp_feedback_glitch,Feedback Glitch,Psynic,2,6,BOLT,SINGLE_ENEMY,DEBUFF,10,0.3,PER,NONE,3,1,FALSE,Drains energy from an opponent and disrupts their spellcasting.,res://Data/Spells/Icons/feedback_glitch.png,BOLT
sp_psychic_wave,Psychic Wave,Psynic,2,8,BOLT,ALL_ENEMY,DAMAGE,12,0.4,PER,STUN,1,1,FALSE,Emits a mental concussive pulse that can stun all hostiles.,res://Data/Spells/Icons/psychic_wave.png,BOLT
sp_synapse_overload,Synapse Overload,Psynic,3,11,BOLT,SINGLE_ENEMY,DAMAGE,30,0.6,PER,NONE,1,1,TRUE,Overloads a target's neural network to inflict devastating damage.,res://Data/Spells/Icons/synapse_overload.png,BOLT
sp_neural_distortion,Neural Distortion,Psynic,3,9,DARK,ALL_ENEMY,DEBUFF,15,0.3,PER,NONE,3,1,TRUE,Scrambles enemy sensors reducing their attack accuracy.,res://Data/Spells/Icons/neural_distortion.png,DARK
