item_id,item_name,item_type,equip_slot,attack_bonus,defense_bonus,speed_bonus,heal_amount,energy_restore,credit_value,description,icon_path,effects,effect_amount,effect_element,effect_stat,weapon_type,is_consumable
weap_laser_claw,Laser Claw,WEAPON,RIGHT_HAND,8,0,2,0,0,150,A high-frequency energy claw standard among L.E.O. hazard cleaners.,res://Data/Items/claws.png,,,,,BLADE,FALSE
weap_mono_katana,Mono-Katana,WEAPON,RIGHT_HAND,14,0,0,0,0,320,Molecularly sharpened blade capable of slicing rogue server racks.,res://Data/Items/katana.png,,,,,BLADE,FALSE
armor_power_suit,Exo Power Suit,ARMOR,BODY,0,6,-1,0,0,250,Heavy-duty hazard protection plating.,res://Data/Items/gauntlet.png,+4 defense against RANGED,4,RANGED,defense,,FALSE
misc_arcane_battery,Arcane Battery,MISC,NONE,0,0,0,0,0,80,Scavenged energy cell filled with raw magic data.,res://Data/Items/orb.png,,,,,,FALSE
armor_spartan_regular_head,Iron Head Armor,ARMOR,HEAD,0,7,-1,0,0,50,Regular heavy armor for the Spartan class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
armor_spartan_regular_body,Iron Body Armor,ARMOR,BODY,0,9,-1,0,0,50,Regular heavy armor for the Spartan class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_spartan_regular_arms,Iron Arms Armor,ARMOR,ARMS,0,7,-1,0,0,50,Regular heavy armor for the Spartan class.,res://Data/Items/armor.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
armor_spartan_regular_legs,Iron Legs Armor,ARMOR,LEGS,0,7,-1,0,0,50,Regular heavy armor for the Spartan class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_spartan_regular_feet,Iron Feet Armor,ARMOR,FEET,0,7,-1,0,0,50,Regular heavy armor for the Spartan class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
weap_spartan_regular_primary,Broadsword,WEAPON,BOTH_HANDS,8,0,0,0,0,80,Regular primary weapon for the Spartan.,res://Data/Items/weapon.png,,,,,BLADE,FALSE
armor_spartan_advanced_head,Aegis Head Armor,ARMOR,HEAD,0,12,0,0,0,200,Advanced heavy armor for the Spartan class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
armor_spartan_advanced_body,Aegis Body Armor,ARMOR,BODY,0,14,0,0,0,200,Advanced heavy armor for the Spartan class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_spartan_advanced_arms,Aegis Arms Armor,ARMOR,ARMS,0,12,0,0,0,200,Advanced heavy armor for the Spartan class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_spartan_advanced_legs,Aegis Legs Armor,ARMOR,LEGS,0,12,0,0,0,200,Advanced heavy armor for the Spartan class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_spartan_advanced_feet,Aegis Feet Armor,ARMOR,FEET,0,12,0,0,0,200,Advanced heavy armor for the Spartan class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
weap_spartan_advanced_primary,Fusion Broadsword,WEAPON,BOTH_HANDS,18,0,0,0,0,350,Advanced primary weapon for the Spartan.,res://Data/Items/weapon.png,,,,,BLADE,FALSE
armor_archanist_regular_head,Apprentice Head Garb,ARMOR,HEAD,0,2,1,0,0,50,Regular robe armor for the Archanist class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_archanist_regular_body,Apprentice Body Garb,ARMOR,BODY,0,4,1,0,0,50,Regular robe armor for the Archanist class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_archanist_regular_arms,Apprentice Arms Garb,ARMOR,ARMS,0,2,1,0,0,50,Regular robe armor for the Archanist class.,res://Data/Items/armor.png,+3 defense against MAGIC,3,MAGIC,defense,,FALSE
armor_archanist_regular_legs,Apprentice Legs Garb,ARMOR,LEGS,0,2,1,0,0,50,Regular robe armor for the Archanist class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
armor_archanist_regular_feet,Apprentice Feet Garb,ARMOR,FEET,0,2,1,0,0,50,Regular robe armor for the Archanist class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
weap_archanist_regular_primary,Wooden Staff,WEAPON,BOTH_HANDS,8,0,0,0,0,80,Regular primary weapon for the Archanist.,res://Data/Items/weapon.png,,,,,BASH,FALSE
armor_archanist_advanced_head,Nanoweave Head Garb,ARMOR,HEAD,0,4,2,0,0,200,Advanced robe armor for the Archanist class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_archanist_advanced_body,Nanoweave Body Garb,ARMOR,BODY,0,6,2,0,0,200,Advanced robe armor for the Archanist class.,res://Data/Items/armor.png,+5 defense against MAGIC,5,MAGIC,defense,,FALSE
armor_archanist_advanced_arms,Nanoweave Arms Garb,ARMOR,ARMS,0,4,2,0,0,200,Advanced robe armor for the Archanist class.,res://Data/Items/armor.png,+1 defense against MAGIC,1,MAGIC,defense,,FALSE
armor_archanist_advanced_legs,Nanoweave Legs Garb,ARMOR,LEGS,0,4,2,0,0,200,Advanced robe armor for the Archanist class.,res://Data/Items/armor.png,+2 defense against MAGIC,2,MAGIC,defense,,FALSE
armor_archanist_advanced_feet,Nanoweave Feet Garb,ARMOR,FEET,0,4,2,0,0,200,Advanced robe armor for the Archanist class.,res://Data/Items/armor.png,+4 defense against MAGIC,4,MAGIC,defense,,FALSE
