referenced_in,icon_path
shards/resources/mesh_library/corridor_corner.tscn,res://assets/meshes/Textures/colormap.png
shards/Data/Loot.csv,res://Assets/Icons/Items/data_quartz.png
shards/Data/Loot.csv,res://Assets/Icons/Items/cyber_soul.png
shards/Data/Loot.csv,res://Assets/Icons/Items/neon_ruby.png
shards/Data/Loot.csv,res://Assets/Icons/Items/flux_sapphire.png
shards/Data/Loot.csv,res://Assets/Icons/Items/synth_diamond.png
shards/Data/Loot.csv,res://Assets/Icons/Items/aether_chip.png
shards/Data/Loot.csv,res://Assets/Icons/Items/corrupt_emerald.png
shards/Data/Loot.csv,res://Assets/Icons/Items/mana_battery.png
shards/Data/Loot.csv,res://Assets/Icons/Items/glow_opal.png
shards/Data/Loot.csv,res://Assets/Icons/Items/quantum_topaz.png
shards/Data/Loot.csv,res://Assets/Icons/Items/health_vial.png
shards/Data/Loot.csv,res://Assets/Icons/Items/cyber_ration.png
shards/Data/Loot.csv,res://Assets/Icons/Items/mana_stim.png
shards/Data/Loot.csv,res://Assets/Icons/Items/synth_elixir.png
shards/Data/Loot.csv,res://Data/Items/ammo.png
shards/Data/Loot.csv,res://Assets/Icons/Items/mithril_vest.png
shards/Data/Loot.csv,res://Assets/Icons/Items/aero_boots.png
shards/Data/Loot.csv,res://Assets/Icons/Items/holo_visor.png
shards/Data/Loot.csv,res://Assets/Icons/Items/rune_gauntlets.png
shards/Data/Loot.csv,res://Assets/Icons/Items/neural_amulet.png
shards/Data/Loot.csv,res://Assets/Icons/Items/void_focus.png
shards/Data/Loot.csv,res://Assets/Icons/Items/plasma_katana.png
shards/Data/Loot.csv,res://Assets/Icons/Items/grav_hammer.png
shards/Data/Loot.csv,res://Assets/Icons/Items/magitek_railgun.png
shards/Data/Loot.csv,res://Assets/Icons/Items/ignis_blade.png
shards/Data/Loot.csv,res://Assets/Icons/Items/cryo_vibro.png
shards/Data/Skills.csv,res://Data/Skills/Icons/super_strike.png
shards/Data/Skills.csv,res://Data/Skills/Icons/shield_bash.png
shards/Data/Skills.csv,res://Data/Skills/Icons/shadow_step.png
shards/Data/Skills.csv,res://Data/Skills/Icons/whirlwind.png
shards/Data/Skills.csv,res://Data/Skills/Icons/iron_fist.png
shards/Data/Skills.csv,res://Data/Skills/Icons/snipers_eye.png
shards/Data/Skills.csv,res://Data/Skills/Icons/acid_spit.png
shards/Data/Skills.csv,res://Data/Skills/Icons/wild_pounce.png
shards/Data/Skills.csv,res://Data/Skills/Icons/purr_renewal.png
shards/Data/Skills.csv,res://Data/Skills/Icons/lockpicking.png
shards/Data/Skills.csv,res://Data/Skills/Icons/stealth_search.png
shards/Data/Skills.csv,res://Data/Skills/Icons/camp_mastery.png
shards/Data/Skills.csv,res://Data/Skills/Icons/craft_ammo.png
shards/Data/Skills.csv,res://Data/Skills/Icons/craft_throwable.png
shards/Data/Skills.csv,res://Data/Skills/Icons/alchemy.png
shards/Data/Skills.csv,res://Data/Skills/Icons/enchant_gear.png
shards/Data/basic_items.csv,res://Data/Items/weapon.png
shards/Data/basic_items.csv,res://Data/Items/dagger.png
shards/Data/Spells.csv,res://Data/Spells/Icons/plasma_dart.png
shards/Data/Spells.csv,res://Data/Spells/Icons/static_nova.png
shards/Data/Spells.csv,res://Data/Spells/Icons/overclock_shield.png
shards/Data/Spells.csv,res://Data/Spells/Icons/cryo_blast.png
shards/Data/Spells.csv,res://Data/Spells/Icons/arcane_cataclysm.png
shards/Data/Spells.csv,res://Data/Spells/Icons/nano_repair.png
shards/Data/Spells.csv,res://Data/Spells/Icons/adrenaline_surge.png
shards/Data/Spells.csv,res://Data/Spells/Icons/aegis_grid.png
shards/Data/Spells.csv,res://Data/Spells/Icons/revive_protocol.png
shards/Data/Spells.csv,res://Data/Spells/Icons/radiant_smite.png
shards/Data/Spells.csv,res://Data/Spells/Icons/corrosive_spray.png
shards/Data/Spells.csv,res://Data/Spells/Icons/neurotoxin_gas.png
shards/Data/Spells.csv,res://Data/Spells/Icons/stimulant_mist.png
shards/Data/Spells.csv,res://Data/Spells/Icons/smoke_screen.png
shards/Data/Spells.csv,res://Data/Spells/Icons/molecular_dissolve.png
shards/Data/Spells.csv,res://Data/Spells/Icons/mind_spike.png
shards/Data/Spells.csv,res://Data/Spells/Icons/feedback_glitch.png
shards/Data/Spells.csv,res://Data/Spells/Icons/psychic_wave.png
shards/Data/Spells.csv,res://Data/Spells/Icons/synapse_overload.png
shards/Data/Spells.csv,res://Data/Spells/Icons/neural_distortion.png
